Metabolite,Correction,Voxel,Older W 1 CN Female,Older W 1 CN Male,Older W 1 MCI Female,Older W 1 MCI Male,Older W 2 CN Female,Older W 2 CN Male,Older W 2 MCI Female,Older W 2 MCI Male,Older W 3 CN Female,Older W 3 CN Male,Older W 3 MCI Male,Young CN Female,Young CN Male
G,ATC,LAUD,104,61,20,24,27,20,2,4,3,2,1,29,31
G,ATC,RAUD,102,61,20,24,27,20,2,4,3,2,1,29,31
G,ATC,AUD,98,61,20,23,25,19,2,4,0,0,0,29,31
G,ATC,LSM,104,61,20,24,27,20,2,4,3,2,1,29,31
G,ATC,RSM,103,61,21,24,26,20,1,4,3,2,1,28,31
G,ATC,SM,98,61,20,23,25,19,2,4,0,0,0,29,31
G,ATC,LVV,100,60,21,24,25,20,1,4,3,2,1,29,31
G,ATC,RVV,104,61,21,24,27,20,2,4,3,2,1,29,31
G,ATC,VV,98,61,21,23,25,19,2,4,0,0,0,29,31
G,ATC,MEM,49,29,19,23,23,18,2,4,3,2,1,0,0
G,ATC,LPV,51,27,0,0,4,2,0,0,0,0,0,25,30
G,UNC,LAUD,104,61,20,24,27,20,2,4,3,2,1,29,31
G,UNC,RAUD,102,61,20,24,27,20,2,4,3,2,1,29,31
G,UNC,AUD,98,61,20,23,25,19,2,4,0,0,0,29,31
G,UNC,LSM,104,61,20,24,27,20,2,4,3,2,1,29,31
G,UNC,RSM,103,61,21,24,26,20,1,4,3,2,1,28,31
G,UNC,SM,98,61,20,23,25,19,2,4,0,0,0,29,31
G,UNC,LVV,100,60,21,24,25,20,1,4,3,2,1,29,31
G,UNC,RVV,104,61,21,24,27,20,2,4,3,2,1,29,31
G,UNC,VV,98,61,21,23,25,19,2,4,0,0,0,29,31
G,UNC,MEM,49,29,20,23,23,18,2,4,3,2,1,0,0
G,UNC,LPV,51,27,0,0,4,2,0,0,0,0,0,25,30
GLX,ATC,LAUD,101,61,18,24,25,20,2,4,3,2,0,29,30
GLX,ATC,RAUD,102,61,20,24,26,19,2,4,3,2,1,29,31
GLX,ATC,AUD,95,61,18,23,22,18,2,4,0,0,0,29,31
GLX,ATC,LSM,104,61,20,24,27,20,2,4,3,2,1,29,31
GLX,ATC,RSM,103,61,21,24,26,20,1,4,3,2,1,28,31
GLX,ATC,SM,98,61,20,23,25,19,2,4,0,0,0,29,31
GLX,ATC,LVV,100,60,21,23,25,20,1,4,3,2,1,29,31
GLX,ATC,RVV,104,60,21,24,27,20,2,4,3,2,1,29,31
GLX,ATC,VV,98,61,21,23,25,19,2,4,0,0,0,29,31
GLX,ATC,MEM,48,29,20,23,23,18,2,4,3,2,1,0,0
GLX,ATC,LPV,50,26,0,0,4,2,0,0,0,0,0,25,28
GLX,UNC,LAUD,101,61,18,24,25,20,2,4,3,2,0,29,30
GLX,UNC,RAUD,102,61,20,24,26,19,2,4,3,2,1,29,31
GLX,UNC,AUD,95,61,19,23,23,18,2,4,0,0,0,29,31
GLX,UNC,LSM,104,61,20,24,27,20,2,4,3,2,1,29,31
GLX,UNC,RSM,103,61,21,24,26,20,1,4,3,2,1,28,31
GLX,UNC,SM,98,61,20,23,25,19,2,4,0,0,0,29,31
GLX,UNC,LVV,100,60,21,23,25,20,1,4,3,2,1,29,31
GLX,UNC,RVV,104,61,21,24,27,20,2,4,3,2,1,29,31
GLX,UNC,VV,98,61,21,23,25,19,2,4,0,0,0,29,31
GLX,UNC,MEM,48,29,20,23,23,18,2,4,3,2,1,0,0
GLX,UNC,LPV,50,26,0,0,4,2,0,0,0,0,0,25,28
